RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
394378,205,"Bellingham, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,0.32086896878411064,0.3172788975464794,0.31880590986142393,0.31914782083912013,0.31598022590450103,0.3148332715332181,0.31354238540645,0.31219902579297004,0.31324217664669074,0.30898724823610235,0.3072999410620601,0.30345327137481903,0.29630334391770813,0.2985902340334132,0.3020365036650156,0.3009464825316965,0.30729388929312274,0.3124131250752969,0.3154914405800597,0.3123746157916862,0.31268290961372985,0.3109625145871769,0.3162792831669188,0.3181497886531611,0.32275753600837753,0.31814247772742527,0.3199102204727526,0.3180525610211968,0.3188435554883079,0.3192843083451309,0.31697240619339445,0.31764080014709606,0.31945169025988124,0.32109699248023943,0.33165600341896084,0.34641563929616687,0.3383588255321003,0.34040545634916825,0.3426534967320887,0.34007674629423074,0.34103824558009643,0.3397450951277269,0.34343921855721826,0.3423123885418402,0.3411276325550297,0.34471493229987565,0.3459503671374711,0.3464953537462228,0.35037325800081504,0.35976168813759474,0.3647342433871353,0.36714876816012826,0.3729913331313194,0.37426525360140994,0.3752160171942634,0.3776244856942749,0.3815670608238927,0.38869399348008477,0.3902024254545214,0.3821392941021072,0.3742375826355514,0.37071419808799067,0.3674684962233097,0.3638301001524886,0.361976916134416,0.3540747378584635,0.35362628903576804,0.34961881566776437,0.3506058884796297,0.3551625548736761,0.35767297189442376,0.36092392771396653,0.35546415593783437,0.35280248790938784,0.3524459512869156,0.34673141237469624,0.3423660927984539,0.33868801134880405,0.3333826463636564,0.3321373286483542,0.3349849892567778,0.3383846836808912,0.34134007291723933,0.34146167136194744,0.33834155295572893,0.34385123049344385,0.35860819269121125,0.36520800083849025,0.3690195850198693,0.37455032833826846,0.37434838193326636,0.37537253663483783,0.38255376612626857,0.3937284807781563,0.3987274022360163,0.4019808042022732,0.41959788398287184,0.4394658787755162,0.46603214028426326,0.5109744610862019,0.5292084721437604,0.5469297555344925,0.5409472482616652,0.5274279057918304,0.5637383567131857,0.5972584624450646,0.5881637921263997,0.5633894290201226,0.5574454346285259,0.5542835395777097,0.566669139463955,0.5582731611667198,0.5641889530891038,0.5802840996360802,0.5882899113827899,0.6014709757700989,0.6097516346894499,0.6322651343968341,0.6244257651860099,0.5935497192108307,,,,,,,,,,,,
394429,206,"Burlington, VT",msa,VT,,,,,,,,,,,,,0.2732530403150809,0.27811348824251403,0.2800046627749014,0.27776426310731256,0.27972954956005,0.2926518900889124,0.30054765078104195,0.3039656186438415,0.3049588409565582,0.2979690682949884,0.29875092110979196,0.3030320780287416,0.29965739217956683,0.29670694157679744,0.29749667562915383,0.29667652992163174,0.2929304438372717,0.29192246012792816,0.291394613139078,0.29101093153054225,0.2918244063996421,0.28812872983704657,0.2865069395368009,0.28356159477637216,0.2780351589332381,0.27984998334192557,0.28168732200124935,0.27946368992917786,0.2829867857417796,0.28650933537585604,0.28886717623788694,0.28651110569590016,0.2864459447304513,0.2844407022924722,0.2875367381109993,0.2881890227507026,0.28490310606572444,0.28043102497345834,0.28098914041189266,0.27888774941679423,0.2790915744300986,0.279434381964389,0.2774345283469232,0.27770541852993846,0.27843151649788594,0.27876428620756066,0.28644342183962657,0.29715677289399184,0.318574257464506,0.3196876223956986,0.3214045980078196,0.3188922287847737,0.318700048669694,0.3161080635982543,0.3171221269900702,0.3146537906063051,0.31252774418206103,0.31433628818787995,0.31495896669197593,0.3158147294954477,,,,,,,,,,,,,0.3064875833135673,0.3023879710899363,0.29874491816916693,0.2950252170682594,0.29237584136910677,0.28547104542934437,0.28411483821321637,0.2808543657001368,0.28205188346039056,0.2857434193119801,0.2880287183094028,0.2905576610876817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38840371034983756,0.386249599198389,0.3945269815094282,0.38925993297440564,0.39337853738447187,0.40340651559111795,0.4072688143990362,0.41426372946532247,0.4181704453974145,0.43030587139108456,0.42333797254759753,0.4026762437752848,,,,,,,,,,,,
395030,207,"Rochester, MN",msa,MN,0.1674679093124302,0.16715329667949697,0.16865398567312073,0.169713504187227,0.1697663844866482,0.16942700952673698,0.16873143471685165,0.17016009363656545,0.1689574599907269,0.1673640678629031,0.16671993405268543,0.1670759894151168,0.16589013675265163,0.16778023083179242,0.16822132747536125,0.16673400470625077,0.16851130372306658,0.17735405848866062,0.1832943587817273,0.1859376385395587,0.18704852879262118,0.18307555341986714,0.1839979225311126,0.1868312374596228,0.18779255783206483,0.18557717794630113,0.18574089807005809,0.1855267043215436,0.18362781958726002,0.1832330873914728,0.18280108144271975,0.18241665452814934,0.18297156834480305,0.18068784849571717,0.17955539283678829,0.176984785932394,0.17398204853162702,0.17441258222577674,0.17543977206120367,0.17455181270627587,0.1777099395922462,0.18062311666985806,0.1823871954842846,0.18124452691420065,0.1819763421781321,0.18161824093630402,0.1844978908570191,0.18552299629044441,0.18194983173888102,0.1792650356213168,0.1799752812605083,0.17928357867249628,0.17991692308935495,0.18050442837720046,0.1793873743243784,0.17998667903281043,0.18118629938544709,0.18223332438216241,0.18740493380533615,0.19402006240123254,0.19436684069914964,0.19498969355075277,0.19610853134661782,0.19481349972509834,0.1955184364333678,0.19529752463067135,0.19728763085839696,0.19659938175937489,0.1962945392916512,0.1987919948736058,0.20044833966114364,0.20190703744426672,0.1972506901718319,0.2028205937447681,0.2051157515893282,0.2056720826467199,0.2077834270203935,0.2074991908019592,0.20696402266980418,0.20742080178731603,0.2086235564852652,0.21165803773736183,0.21184380263004768,0.20756220153727634,0.2087200621745247,0.20739831207069462,0.20626185306133307,0.2047406336544988,0.20395775115271741,0.20007935183521572,0.1999406363995767,0.1979854233897475,0.1982549764639727,0.2003307623240924,0.20143998679285768,0.20316710096134638,0.20320987213336747,0.20118962918687558,0.199548494383246,0.19549404769685183,0.1925641983021493,0.1911951983827009,0.18893239630923536,0.18837900255012244,0.18959274490712555,0.19126952342948858,0.1927497850956578,0.19279934587248043,0.19118901238122274,0.19336938952752053,0.1993855314172505,0.20080738789732078,0.20121135591923414,0.20283461011368362,0.20199903538274777,0.20188674311246788,0.204318795046281,0.2086837516205981,0.21034722438236564,0.21133541439128098,0.21844415205396106,0.226692607174805,0.23764226625518767,0.25707064824239906,0.2646293421824763,0.27209394555819616,0.2690533121588192,0.2627533759233256,0.2798912625402189,0.2959154692289496,0.2929015906076978,0.28254251784794826,0.27555450377502844,0.27469155706982334,0.28165434807903295,0.2785679799444111,0.28240965561570036,0.2908178051051949,0.29499050028674456,0.30123514111005933,0.3051886323656416,0.31505215603827524,0.3110202511442558,0.2962096914551517,0.29918818821875637,0.30179679823627664,0.30340995498365386,0.308517613779283,0.31057761614605,0.30679290962108335,0.3043578043211312,0.2958306898704066,0.2893012323155863,0.29582391437716365,0.30543322611485113,0.30485748355197745
753895,208,"Lafayette, IN",msa,IN,0.17069578092088922,0.16896361646433236,0.16913935779379974,0.16833776137555248,0.16657182223895672,0.1646300087085956,0.16263116322570978,0.16313322712238137,0.16138118911523472,0.15970989638353122,0.1591591491497183,0.1591577630379292,0.1613317664050793,0.16289784220891732,0.16344679042222673,0.1620622272811479,0.1635866124937237,0.17154084911378661,0.1763427413699365,0.17790335507453928,0.17823340185512718,0.17361181612748516,0.17455563462015763,0.17754286316911894,0.1770384688988088,0.17468986966977781,0.17440199410143323,0.17365378901400985,0.17104715295928694,0.1703337612797691,0.16959302236954713,0.16917666296653294,0.17017439982406296,0.1684474753587816,0.16811020847459604,0.1666095894827135,,,,,,,,,,,,,0.16825922561937676,0.16533333579903892,0.16568708271053928,0.16441673902612625,0.16430732144198487,0.1640957091529141,0.16238593983112506,0.16247974725904696,0.16362666624766523,0.16479922776078998,0.1702371564375756,0.17763537190113862,0.17708032983796185,0.17785844889449767,0.1787365068575277,0.17722300557497825,0.177682555441299,0.17746347562286624,0.17977739800265966,0.17985001236401857,0.18012846853801703,0.18294272939476147,0.1847513333201137,0.18618978100322922,0.18789649596254207,0.19375529466851177,0.19707346976046822,0.19894468073118812,0.20222209742807626,0.20275562546270767,0.20289908625436925,0.20422678151877133,0.20635795405757762,0.21057769658449646,0.21188824260882091,0.20822682012067945,0.20547157559467094,0.20489764707807243,0.20472044054651528,0.2038044585844228,0.20368969728602024,0.19992519706146322,0.20040768444488233,0.1987437363493928,0.19948166130293926,0.20206345176655113,0.20372278246726422,0.20598543139189096,0.2052769118046949,0.20369383827387605,0.20291534935294184,0.1995610058673005,0.19756855171695928,0.19667922340200364,0.1943613051222576,0.19353643968324452,0.1951683753875856,0.19730055673851343,0.19933295481098515,0.19885268516321622,0.19869743144698898,0.20052516071145157,0.20839745794159809,0.21161555540453625,0.21341037106639468,0.21547128795827392,0.21461765881414394,0.215061093302721,0.2183851620285635,0.2240912492416908,0.22626982075917954,0.22670267945363007,0.2346048361966035,0.24204349644252843,0.2523803281103813,0.272792247045077,0.2796824011470393,0.2876151654022964,0.28388218045198904,0.27698913601254793,0.2957407142088841,0.3126932484977217,0.30782828232717346,0.2952963197150378,0.29288131402704065,0.2915164429384461,0.2981055703459035,0.2940304888487547,0.29800355436361686,0.3080847839645522,0.3137369976034717,0.3213157819123955,0.32550686712821836,0.3363862526271927,0.3316570024018618,0.31503496173015144,,,,,,,,,,,,
394454,209,"Champaign, IL",msa,IL,0.23657257047641148,0.23579377503494442,0.23691753361555973,0.23653114907461534,0.23489159144526633,0.2328095420710823,0.23047842454970757,0.23075607775458584,0.2273424700127842,0.22379936281250126,0.2214335391018563,0.2200632197151008,0.21958937309927912,0.22013388714624355,0.21949548796853385,0.21716691330318222,0.21836346438760434,0.22738122310501113,0.23264999181660273,0.23472564774820046,0.2353311259672682,0.23119459356392122,0.23243050637198545,0.23588968503161062,0.23203929737829473,0.2295939085032157,0.22972901159539647,0.22957007804156704,0.2274425818621316,0.22724213281311242,0.22715488354438818,0.22745518676699758,0.22833031007917856,0.22585380347008727,0.22434736341915537,0.22174745624139444,0.21963864084542,0.21980259827696208,0.22051425266098557,0.2193848041163789,0.2224642763801589,0.22523590086639728,0.22669154456877685,0.22498942350925166,0.22478070643567583,0.22306597550692409,0.2244276110249828,0.2243013048108138,0.2209505841009565,0.21817705706605997,0.21882021328612797,0.21750625724270678,0.21778885995750905,0.21829286058123146,0.21680593814329197,0.2170037926201911,0.217190502291573,0.2175696175051206,0.22236289826534378,0.2296710245370787,0.23303780601377294,0.23413038211697262,0.23502030407275665,0.23275756758620886,0.23209569198145077,0.23028834328243825,0.2311776191573011,0.22991028399907323,0.22937454766189708,0.23149914705941393,0.23304246475587817,0.2342631867215515,0.23567439316469754,0.2404095274961858,0.2421159399602436,0.2423088575864636,0.2440577542415125,0.24255921191314836,0.2410559230282073,0.2401519604440186,0.2394816465383217,0.23980101638346096,0.23762240599045525,0.23169827751689248,0.2253780899709281,0.2243937057148774,0.22328907085323269,0.22098165322354352,0.21895636106719132,0.21446395716471586,0.21313400591516288,0.20982925323730606,0.20898376838591712,0.20997856758168132,0.21050637331518504,0.21179168972211224,0.21170252070221465,0.2093670024910647,0.2073158575870259,0.2037118763239089,0.20128849063828777,0.1994542917798455,0.19648145731062477,0.195072910686554,0.19568186852680927,0.19656193415288845,0.19702814212942915,0.19568133982724978,0.19134686090710654,0.19206575453909724,0.19701214902956046,0.19821129374701804,0.19847818255222263,0.19955154638733422,0.19886302885976762,0.19929280007295874,0.20268309971339746,0.20794749642101334,0.21060436860230947,0.2122132968403987,0.2160878852928718,0.22272254030462516,0.23119479998032297,0.2469950367298502,0.252977170931019,0.25967201189205236,0.25761251286346765,0.2533912374377167,0.2683664377548248,0.28265923143951316,0.2806481776122045,0.2725720804671905,0.27105367092508115,0.2702164330990109,0.2758052094854268,0.27301313726722104,0.2769769445299661,0.28532267287137336,0.29012114809909983,0.29673554211453695,0.30093338141766757,0.31100260239365857,0.30899065863693537,0.29703016895465906,,,,,,,,,,,,
394848,210,"Medford, OR",msa,OR,0.2898729672083784,0.2875652640270282,0.2874953469699945,0.28450943722318844,0.2803972454891954,0.2768368284037334,0.2733855451392913,0.2738343988010802,0.27054170251286624,0.26818292758894086,0.2681434448616158,0.26971992421207797,0.2699697110708127,0.27471828148164423,0.2763997795929547,0.2745862594288911,0.27836294087937424,0.2948496874844309,0.30649044713761237,0.31289500771982975,0.31796161561865466,0.31469974960442826,0.3201971741800899,0.3296381210050649,0.3333272187215922,0.3327989759379183,0.33631726706186227,0.338798257678824,0.3374582243533836,0.3380119372181204,0.33787124773812366,0.33813400177898845,0.34028088945107,0.3378938276781287,0.33783838215267903,0.33550592877058916,0.32801055953936537,0.32991471032659175,0.3322756989655738,0.3307433973700889,0.33616786439715596,0.3401424974195201,0.3418157559715853,0.33794735418203264,0.338520588160619,0.3372961100573106,0.3430216489522901,0.3453261677653411,0.3390922082430155,0.334467393881308,0.3369807352379903,0.33627475470126894,0.3376561281062681,0.33727628594104186,0.33361824155199493,0.3337235171120999,0.33483563117381865,0.3364717401725834,0.34667094607582805,0.3610560445223223,0.3559296216216971,0.3572038296676045,0.3579527130021493,0.3529985156419057,0.35156797544455265,0.34860894428725175,0.3507582039572662,0.34843212862887213,0.3467000893700095,0.3501196596955668,0.3512826552689862,0.35304148825979614,0.35406284169029095,0.36448068227850716,0.3696724119398839,0.3721650966254202,0.37781029765473567,0.37789152013121474,0.37663948992170293,0.3768501219656911,0.37823187070765685,0.383396193829504,0.3829256045248569,0.3747764187999873,0.36704779349779465,0.36381880439135655,0.3605042574880026,0.3565253127446904,0.35415365342531213,0.3460485246750532,0.34518124859077304,0.3407984802397291,0.34004694616336667,0.3427587308306985,0.34416832218826493,0.34704638526797776,0.34375009277175034,0.3398588965772857,0.33722489228860747,0.3301604832379331,0.3248799346023927,0.3214515459809293,0.31632397635878295,0.31459144920428805,0.3156330289962946,0.31754861488717606,0.3193388765076216,0.3190236943492796,0.3146066084096659,0.31939828230264816,0.33287412779385395,0.3380426073267211,0.34016728523376133,0.34287894836774274,0.34019431340139006,0.3392913813833075,0.3435526007013059,0.35191236775253887,0.3542798843073361,0.35397830679604814,0.3629780259586063,0.3743555204023375,0.39048525683088203,0.42158534587490076,0.4314604873420785,0.4422347274767492,0.4348184718522313,0.4221938489979816,0.4503923897775582,0.47627968313063473,0.46861932913967874,0.44751551374562515,0.4417080819687418,0.43675786919513054,0.44420240039499265,0.4354995860865811,0.43844100603287295,0.44961106615456764,0.45440389490180993,0.46280921732565,0.4671517045165413,0.4818050562476307,0.47347497233041247,0.4486597511601728,,,,,,,,,,,,
394459,212,"Charlottesville, VA",msa,VA,0.27065199468941387,0.26887370121140236,0.269322376868014,0.26806612740033836,0.26608930710659784,0.2637812789082487,0.26152111020909,0.2629178852133785,0.2596306973626232,0.25579695225219573,0.2537457618212529,0.2533000102946183,0.24990761702395312,0.2532720306956459,0.25458827591289923,0.25215742784654605,0.2545345013910151,0.2682463147632919,0.276897956425021,0.2806227913323239,0.28171408849114854,0.2749777999726081,0.2760447899213404,0.2799905662561292,0.27442023099248425,0.2707297351256803,0.27116581647597776,0.27031668531337566,0.2667404264773221,0.26577628932009434,0.2644573917635376,0.2632604853411022,0.26426880842730394,0.26138075921895565,0.2603768782314432,0.2570164184867776,0.2492173705896236,0.25010971309590063,0.25188698547959826,0.2502661291513368,0.25471998322346917,0.25795034924277244,0.25948906786476705,0.2563763124017241,0.25582681055241746,0.2535545312830891,0.2567322695749419,0.2573627207583114,0.2565811623121039,0.2517628561931657,0.2521066234717465,0.249278764585319,0.2485865520997767,0.24775504505397358,0.24495686747267315,0.2447379233650939,0.24543385495583167,0.24606108800505788,0.2532508359515071,0.2633766683359474,0.2470775415870944,0.24758345148394223,0.2484697048860513,0.2454900772831135,0.24541673591633914,0.24336251161737382,0.24492420437590642,0.24262259725996027,0.24013399357820087,0.24144603820923163,0.24133357422610777,0.24138706408003296,0.25729624286569536,0.2635625545496538,0.26591691659605715,0.26597957428527685,0.2685319557657924,0.2679806862741187,0.2672555116116283,0.2679241788398645,0.2703679526528055,0.27521730412293705,0.2760272940160025,0.2702486369123157,0.2672575533823461,0.26546301359395297,0.2639260860826611,0.26185397160694807,0.26069234392247775,0.2544814958379934,0.2533999978592027,0.24978107382276182,0.2493791392239278,0.25135654350033126,0.25181778826397233,0.25310780507734926,0.2500127870653743,0.24712541359150517,0.24564916106098558,0.2409128191757822,0.23752153739542875,0.23540233078137987,0.23209874650992038,0.2313205207373836,0.23303425685229287,0.23531317252713285,0.2370468723460574,0.23649980658129371,0.23683791621200426,0.23922652878683742,0.24767527120212401,0.2503078813772952,0.25135393697836217,0.2533563331369693,0.25127368504406855,0.24969252377366097,0.25098155383235654,0.2554046008746521,0.25641696220973625,0.2565413465835284,0.2607012734240879,0.2700441702899017,0.28306820163835006,0.30696785645850455,0.3160159020852792,0.32573143651644204,0.3220793851695738,0.3145265377444145,0.3372398188041885,0.35815986731361454,0.3535758294410908,0.339020030296995,0.337384125683703,0.33613992388880337,0.34415884181703954,0.33841746240864506,0.34129168093161505,0.3509773817390614,0.3556713586210948,0.36336229410062915,0.3677226992950621,0.38028581138249745,0.3747468474994219,0.3558856489154252,0.35359019078086396,0.357294616739043,0.35953943487394596,0.36655718808531773,0.3701121219847626,0.3663592144866284,0.3645140272798547,0.35455011939990544,0.346443016124285,0.355193771559442,0.3679708537415249,0.3668937381624519
394763,213,"Lake Charles, LA",msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25207587480035426,0.2513063866950159,0.24809653402620016,0.24686312970303712,0.24583565607039895,0.24255817088726514,0.2422698812568967,0.24257582264070224,0.24352183488589677,0.2504914035112934,0.26074352111363114,0.2600134519764316,0.2603566890031484,0.26051980838725336,0.2568842497860703,0.25582257569464356,0.2529909830350335,0.25448694069116307,0.25337853630041873,0.2532466704237973,0.2561586683521042,0.25713409350831257,0.25667970649857497,0.2568170659041185,0.2624232172198179,0.26508969865131576,0.26571270658895085,0.26814846036011,0.2663258584015903,0.2647263208959708,0.26452537239421436,0.26608986514341315,0.26943517045731863,0.2697733514605609,0.2649416833385245,0.2714436317634059,0.26843357903576354,0.26477021543807483,0.2607583827095065,0.25873533689512396,0.25264620220489137,0.25220372613433917,0.24918812410237115,0.24887700051576708,0.25067324952380793,0.25123344696067584,0.2528076656554981,0.24808549139361372,0.24473053667587105,0.2409168118954328,0.23416737576459234,0.22919865479319027,0.22606009872696678,0.222423580559718,0.22075637158481135,0.22220885251515599,0.22288295952462217,0.22253182055718923,0.2185886456832148,0.2195865451460718,0.2178278735124624,0.22167438321410815,0.22054934817059518,0.21782312310237173,0.21484604419855627,0.2092417071280087,0.20539512659628598,0.20601663782607876,0.20941095264845347,0.2099841546956813,0.20925839680935912,0.21291290061260126,0.21745094459812636,0.22459992511691534,0.2398279497228776,0.24464351929485006,0.2507531319134419,0.24854422751517521,0.24455065369920367,0.26179057290389035,0.27657531898694926,0.27218453138405996,0.25980597740119266,0.278674015427699,0.27433793855321287,0.278757325786598,0.2737323618911419,0.2753148672368371,0.2794448973440083,0.2797175024659429,0.28200464424046146,0.28275774984148494,0.28847457687816774,0.282770804047643,0.2684096820426234,0.25607427471150485,0.2572498772310691,0.25831568096743057,0.2631143660185892,0.2644995198299996,0.2607973041370595,0.2573687720906986,0.24821118834294267,0.24119441697090582,0.24379529724027726,0.24966529039129667,0.24746879134592378
394773,214,"Las Cruces, NM",msa,NM,0.2736418684990349,0.2727384759899834,0.2748763151727947,0.27482773533487914,0.2730258386061686,0.2705433949820302,0.267858203445194,0.2686385414807486,0.26402258023283204,0.2586717952051547,0.2559274442467091,0.2550631819607183,0.25677096275333994,0.25864708958765914,0.2577888170625108,0.2533004871374177,0.25476012798039216,0.26860629497693916,0.2772626951961118,0.28033808527185844,0.2811582791111479,0.27396546274222616,0.2751725458587349,0.279182618938458,,,,,,,,,,,,,0.25153240775405905,0.25154586892422853,0.2523440007373112,0.25012681951458293,0.2546486149617652,0.2593500082293275,0.26329297569771487,0.2618901014492213,0.26243790243871246,0.26033354898759214,0.2631284052643352,0.2630257431157412,0.2604250114500533,0.25550317661238503,0.25558689648496746,0.2530406916055725,0.2531528889799233,0.25371429876702295,0.25205029140945245,0.2525612037761661,0.253351613399878,0.254280460154232,0.2616015897294682,0.2718771498476309,0.27313789314953885,0.2730545025686257,0.27387751519062215,0.2715836872215856,0.2726742400432976,0.27237662020150455,0.2760147539956231,0.2754439949149147,0.2735593088887201,0.2748399075454472,0.27460091301282924,0.27431593746487687,0.273165343247203,0.2795747226106808,0.2813204697098838,0.28075124720457517,0.2819569329676688,0.28015709135586686,0.2788160916863613,0.2799625894225071,0.2836915124829657,0.2899695688820085,0.29199648059317407,0.28669323155732,0.28195087780129574,0.277167941772216,0.27119058864505163,0.265728610654085,0.26269137997668746,0.2560562264148901,0.2549864639611406,0.25131847336411434,0.25116611714246484,0.2533157881449012,0.2546420690950711,0.25708986970590963,0.2551248850686601,0.2525082124180468,0.250064876226349,0.2440940924494431,0.24007786912677803,0.23786390085143944,0.23504961586140657,0.2343134844024445,0.23624677969073407,0.2383152875609308,0.23998951927360743,0.23873534082920653,0.2358774799442975,0.23780022267299708,0.2464107473769162,0.24905821478898618,0.24971707380496266,0.2506672350612041,0.24878467455483536,0.24932398135571632,0.25519091033012126,0.26413330437956944,0.26886252337103744,0.2708715935525823,0.2773311355785357,0.2873666612172953,0.3010297269142307,0.3258426865679987,0.3342211224737682,0.342007462626509,0.33667726452375085,0.32844774960825734,0.3520302704378983,0.37354953285472603,0.3687755633158635,0.3542588698051453,0.34968409748825385,0.34953255287974294,0.35971446234558846,0.35613202229124447,0.36118225396125886,0.3724539059765699,0.37762545682634135,0.3855411439904917,0.3897216658130733,0.4024549840215767,0.39584465963103205,0.3740270879980076,,,,,,,,,,,,
